Deck_ACC,Deck_CRESP,Deck_DurationError,Deck_OnsetDelay,Deck_OnsetToOnsetTime,ExperimentName,ExperimentPlatform,ExperimentVersion,List1_Cycle,Running,cycle_start_date,day,expected_trial_count,experiment_name,internal_node_id,lang,last_commit,on_mobile,role,rt,screen_availHeight,screen_availWidth,screen_height,screen_width,session_id,session_uuid,study_id,subject_id,task_section,time_elapsed,trial_index,trial_type,useragent,view_history,window_innerHeight,window_innerWidth,DeckA,DeckB,DeckC,DeckD,Deck_OnsetTime,Deck_RESP,Deck_RT,Deck_RTTime,List1_Sample,loss_event,response,totalsum,var,stimulus
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.0,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,3185.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,54639,2,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,50.0,50.0,54610.70000001788,D,3185.0,57795.70000001788,1.0,0.0,3.0,2050.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.1,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,2132.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,58083,6,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,50.0,50.0,59106.80000001192,D,2132.0,61238.80000001192,2.0,0.0,3.0,2100.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.2,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,621.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,60021,10,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,50.0,50.0,62555.5,D,621.0,63176.5,3.0,0.0,3.0,2150.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.3,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,852.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,62190,14,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,50.0,50.0,64494.0,C,852.0,65346.0,4.0,0.0,2.0,2200.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.4,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,606.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,64114,18,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,0.0,50.0,66663.59999999404,D,606.0,67269.59999999404,5.0,0.0,3.0,2250.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.5,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,585.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,66020,22,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,0.0,-200.0,68591.20000001788,D,585.0,69176.20000001788,6.0,-250.0,3.0,2050.0,-200.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.6,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,865.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,69204,26,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,0.0,50.0,71495.30000001192,D,865.0,72360.30000001192,7.0,0.0,3.0,2100.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.7,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,757.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,71279,30,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,0.0,50.0,73678.90000000596,B,757.0,74435.90000000596,8.0,0.0,1.0,2200.0,100.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.8,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,1473.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,74075,34,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,0.0,50.0,75757.80000001192,D,1473.0,77230.80000001192,9.0,0.0,3.0,2250.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.9,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,944.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,76338,38,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,0.0,50.0,78549.20000001788,D,944.0,79493.20000001788,10.0,0.0,3.0,2300.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.10,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,571.0,800,360,800,360,e31d4e7d-80c0-4f50-ae05-859061021616,e31d4e7d-80c0-4f50-ae05-859061021616,projectseed_production_april2024,5,,78223,42,html-button-response,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Mobile Safari/537.36",,1824,980,100.0,100.0,0.0,50.0,80809.20000001788,B,571.0,81380.20000001788,11.0,0.0,1.0,2400.0,100.0,
