Deck_ACC,Deck_CRESP,Deck_DurationError,Deck_OnsetDelay,Deck_OnsetToOnsetTime,ExperimentName,ExperimentPlatform,ExperimentVersion,List1_Cycle,Running,cycle_start_date,day,expected_trial_count,experiment_name,internal_node_id,lang,last_commit,on_mobile,role,rt,screen_availHeight,screen_availWidth,screen_height,screen_width,session_id,session_uuid,study_id,subject_id,task_section,time_elapsed,trial_index,trial_type,useragent,view_history,window_innerHeight,window_innerWidth,DeckA,DeckB,DeckC,DeckD,Deck_OnsetTime,Deck_RESP,Deck_RT,Deck_RTTime,List1_Sample,loss_event,response,totalsum,var,stimulus
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.0,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,3048.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,73529,2,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,100.0,100.0,50.0,50.0,70941.0,D,3048.0,73989.0,1.0,0.0,3.0,2050.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.1,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,1993.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,76845,6,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,100.0,100.0,50.0,50.0,75311.0,B,1993.0,77304.0,2.0,0.0,1.0,2150.0,100.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.2,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,1170.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,79329,10,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,100.0,100.0,50.0,50.0,78618.0,A,1170.0,79788.0,3.0,0.0,0.0,2250.0,100.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.3,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,2327.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,82967,14,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,-250.0,100.0,50.0,50.0,81099.0,B,2327.0,83426.0,4.0,0.0,1.0,2350.0,100.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.4,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,2140.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,86420,18,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,-250.0,100.0,50.0,50.0,84739.0,D,2140.0,86879.0,5.0,0.0,3.0,2400.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.5,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,1997.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,89727,22,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,-250.0,100.0,50.0,50.0,88190.0,C,1997.0,90187.0,6.0,0.0,2.0,2450.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.6,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,3285.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,94327,26,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,-250.0,100.0,0.0,50.0,91501.0,C,3285.0,94786.0,7.0,-50.0,2.0,2450.0,0.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.7,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,1057.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,97696,30,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,-250.0,100.0,-25.0,50.0,97099.0,B,1057.0,98156.0,8.0,0.0,1.0,2550.0,100.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.8,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,961.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,99970,34,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,-250.0,100.0,-25.0,50.0,99468.0,D,961.0,100429.0,9.0,0.0,3.0,2600.0,50.0,
0,1234,-999999,0,0,IowaTask-v2.0,-mobile,jspsych-0.3a-mobile,1,List1,2024-04-29,0,0,projectseed-iowa-production,0.0-0.0-2.0-0.9,eng,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,True,adolescent,904.0,844,390,844,390,5be94074-db34-43bf-a653-836de720ecc0,5be94074-db34-43bf-a653-836de720ecc0,projectseed_production_april2024,4,,102185,38,html-button-response,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.88 Mobile/15E148 Safari/604.1",,1681,980,-250.0,100.0,-25.0,50.0,101740.0,A,904.0,102644.0,10.0,-350.0,0.0,2350.0,-250.0,
